,0
133,“화면 달린 보이는 AI 스피커” SKT ‘누구 네모’ 출시
134,SK-서울시 “5G와 AI로 완전자율주행 시대 앞당긴다”
135,"SKT 메타트론·KT 콘스탄틴, 사 ‘빅데이터’ 시장 진격"
136,세계에서 인정한 SKT 5G MEC 기술
137,"SKT, 디스플레이 탑재 AI 스피커 ‘누구 네모’ 출시"
138,"SKT-MS, 5G 킬러콘텐츠 개발 손잡아"
139,"SKT, 디스플레이 탑재형 AI스피커 '누구 네모' 출시"
140,"SKT, MS와 5G 협력 손잡았다"
141,"'누구'에 '코타나' 더한다.. SKT-MS, 포괄 협력 맞손"
142,"MS 손잡은 SKT ""전에 없던 5G 서비스 내놓겠다"""
143,"SKT-서울시, 버스·택시 1700대에 5G 기반 ADAS 탑재"
144,'옛사진 고화질로'..SKT '5GX 마법사진관' 10만명 찾아
145,"SKT, 서울시와 손잡고 자율주행 정밀지도(HD맵) 구축 첫 발"
146,"손잡은 SKT·MS ""5G 시대, 게임 체인저 될 것"""
147,"ICT 기술로 난제 해결하는 SKT…독거 어르신 외로움, AI 스피커로 ..."
148," 5G 합종연횡, 글로벌 무대 진출하는 한국 기업들"
149,"SK-서울시, 5G·AI로 완전 자율주행 시대 앞당긴다"
150,디스플레이 달린 AI 스피커 SKT '누구 네모' 29일 출시
151,"SKT, 아시아 '최우수 이통사' 선정"
152,"SKT, 화면 달린 AI 스피커 '누구 네모' 출시"
153,"SKT, 아시아 유력 ICT 어워드서 7개 부문 수상"
154,"SKT, ‘2019 누구 플레이 개발 공모전’ 수상자 선정"
155,"SKT, 홀몸어르신 ‘AI 스피커’ 돌본다…사회적 가치 창출 잰걸음"
156,SKT sweeps 7 awards at Telecom Asia Awards 2019 for 5G technolo...
157,"SKT-서울시, 자율주행 위한 정밀도로지도 기술 개발  실증 협약 체결"
158,"SKT,  아시아 어워드 '최우수 이통사' 선정"
159,"‘앵그리버드를 AR로’ SKT, 5G-AI-IoT 활용 콘텐츠 공개"
160,SKT AI스피커 '누구'에서 '아프리카TV 팟캐스트' 듣는다
161,"SKT·서울시, 자율주행인프라 '실시간 초정밀도로지도' 공동개발"
162,"SKT, 독거노인 2100명에 AI스피커 보급..ICT 돌봄 지원(종합)"
163,"SKT 보이는 AI 스피커, 스마트홈·영상 통화 기능은 아직···"
164,"SKT,  아시아 어워드 7개 부문 수상"
165,"서울시-SKT, 자율주행 필수 인프라 '실시간 초정밀도로지도' 공동개발"
166,"SKT, 보이는 AI스피커 '누구 네모' 첫 출시"
167,"SKT-서울시, HD맵 실시간 업데이트 기술 실증 협약 체결"
168,"SKT-MS, ICT 분야 포괄적 협력 합의..""게임 체인저 발굴"""
169,"SKT, 보이는 AI스피커 ‘누구 네모’ 출시···출고가 19만9천원"
170,"SKT·서울시, 하반기 대중교통에 5G 기술 세계 첫 적용"
171,"SKT, 듣고 보는 AI스피커 ‘누구 네모’로 키즈시장 공략"
172,"SKT, AI기반 미디어 품질개선 솔루션 개발"
173,AI로 저화질 사진 생생하게…미디어 품질 높이는 SKT '슈퍼노바'
174,빛난 '글로벌 리더십' 호 SKT사장..부활한 MS와 사업협력 '물꼬'
175,"“이제는 본다”… SKT, 보이는 AI스피커 ‘누구 네모’ 출시"
176,"SKT-서울시, HD맵 실시간 업데이트 기술 실증 협약 체결"
177,"SK, 서울시와 5G·AI로 완전자율주행 시대 앞당긴다"
178,"SKT, 보이는 AI 스피커 시대 개막...7인치 화면 탑재 '누구 네모' 출시"
179,"""이제 스피커도 보는 시대""…SKT, 보이는 AI 스피커 '누구 네모' 선..."
180,SKT AI 미디어 솔루션 '슈퍼노바' MWC서 공개
181," 구글·아마존 세상, 한국산 AI 생존 가능할까…KT·SKT, AI..."
182,"SKT, 디스플레이 탑재형 AI 스피커 '누구 네모' 출시"
183,"SKT, 디스플레이 탑재형 AI 스피커 '누구 네모' 출시"
184,"SKT, 디스플레이 탑재 AI 스피커 출시…듣는 시대에서 보는 시대로"
185,"""이 음악 어때요"".. 독거노인 말동무 AI스피커"
186,"SKT, 화면 탑재 AI스피커 ‘누구 네모’ 출시…‘보여주고 말하는 ..."
187,"SKT, AI '슈퍼노바' MWC서 공개..반도체 품질평가·영상 화질 개선 ..."
188," SKT, 보이는 AI스피커 ‘누구 네모’ 출시"
189,AI스피커 제조사 음질 경쟁..왜?
190,"서울시-SKT, 자율주행 인프라 '실시간 초정밀도로지도' 공동개발"
191,"SKT-MS, '5G+클라우드' 협력..호 SKT 사장 ""게임 체인저 선보일..."
192,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
193,"SKT-연세대 의료원, 국내 첫 5G 병원 구축"
194,'SKT 5GX 슈퍼노바' 퀴즈 맞히고 에어팟 받자
195,"서울시-SKT, 자율주행 필수 인프라 '실시간 초정밀도로지도' 공동개발"
196,'MWC19 개막 축하하는 SKT AI로봇'
197,"""AI, 사물인터넷 등 첨단기술 보험산업을 뒤바꾼다"""
198,"병실에 AI스피커...SKT-연세의료원, 국내 첫 '5G 디지털혁신병원' 연다"
199,'SKT 5GX 슈퍼노바' 2시 이벤트 종료.. 추첨 응모는 가능
200,"SKT-서울시, 자율주행 앞당긴다...버스·택시에 5G 적용"
201,"SM-SKT, AI 기반 음원 분리 기술 사업 '맞손'"
202,"SKT·MS 손잡고 ""첨단 ICT 협력"""
203,SKT·카카오가 접은 사업으로…
204,"SKT, '누구 콜' 서비스 출시"
205, 클라우드의 힘은 데이터센터에서부터
206,"SKT, AI 미디어 솔루션 '슈퍼노바' 공개"
207,"현대차-SKT, 고객 응대용 AI 로봇 만들기로"
208,24시간 상담부터 판매까지..내년 AI 보험 설계사 뜬다
209,“화면 달린 보이는 AI 스피커” SKT ‘누구 네모’ 출시
210,SK-서울시 “5G와 AI로 완전자율주행 시대 앞당긴다”
211,"SKT 메타트론·KT 콘스탄틴, 사 ‘빅데이터’ 시장 진격"
212,세계에서 인정한 SKT 5G MEC 기술
213,"SKT, 디스플레이 탑재 AI 스피커 ‘누구 네모’ 출시"
214,"SKT-MS, 5G 킬러콘텐츠 개발 손잡아"
215,"SKT, 디스플레이 탑재형 AI스피커 '누구 네모' 출시"
216,"SKT, MS와 5G 협력 손잡았다"
217,"'누구'에 '코타나' 더한다.. SKT-MS, 포괄 협력 맞손"
218,"MS 손잡은 SKT ""전에 없던 5G 서비스 내놓겠다"""
219,"SKT-서울시, 버스·택시 1700대에 5G 기반 ADAS 탑재"
220,'옛사진 고화질로'..SKT '5GX 마법사진관' 10만명 찾아
221,"SKT, 서울시와 손잡고 자율주행 정밀지도(HD맵) 구축 첫 발"
222,"손잡은 SKT·MS ""5G 시대, 게임 체인저 될 것"""
223,"ICT 기술로 난제 해결하는 SKT…독거 어르신 외로움, AI 스피커로 ..."
224," 5G 합종연횡, 글로벌 무대 진출하는 한국 기업들"
225,"SK-서울시, 5G·AI로 완전 자율주행 시대 앞당긴다"
226,현대차-SKT 'AI동맹' 고객 응대용 로봇 개발 박차
227,이달 28일 인천 송도서 '제2회 스마트시티 국제심포지엄' 열려
228,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
229," SKT, 보이는 AI 스피커 ‘누구 네모’ 출시"
230," SKT, 보이는 AI 스피커 '누구 네모' 공개"
231,"""부모 목소리로 동화 읽어준다""..AI 기기 새 킬러콘텐츠는 '키즈'"
232,'듣는 AI'에서 '보는 AI'로..이통 3사 AI 스피커 2라운드
