,0
151,", 내달 5일 ‘ AI 콜로키움’ 개최"
152,"LG유플러스, 디스플레이 탑재 AI스피커 'U+AI_어벤져스' 출시"
153,", AI 연구자 대상 ‘AI 콜로키움’ 개최"
154,"루나소프트,  투자 유치 성공해 눈길.. 어떤 기업일까"
155," D2SF, 로보틱스·AI 기술 스타트업에 투자"
156,"'AI'가 추천한  뉴스, 당신은 어떻게 보십니까"
157,"우리銀- 라인, AI 협업"
158,", AI 연구자 대상 '콜로키움' 개최"
159,"KB금융, 와 금융 AI 비즈니스 사업제휴"
160,", 딥러닝 컨퍼런스 'ICLR 2019'서 연구 성과 공개"
161,"우리은행- 라인, AI 기술 협업 추진"
162,", 로봇·AI 스타트업에 투자한다"
163,", 로보틱스  AI 기술 스타트업 '클로봇'·'모니터'에 투자"
164,"우리銀- 라인, AI기술 협업 위한 MOU"
165,"KB금융그룹-, 함께 '금융 AI스피커' 만든다"
166," ""뉴스페이지, AI 편집 후 조회수 69% 증가"""
167,"KB금융·, 금융 AI 비즈니스 사업제휴..KB 금융스피커 등 개..."
168,' AI 콜로키움 2019' 내달 5일 개최
169," 세계 최고 수준 AI 기술 공개 ""구글과 비교해도 낫다"""
170,", 인공지능 연구자 대상 ‘ AI 콜로키움’ 개최"
171," 中 학계, AI에 음악을 더한다"
172,", 뉴스 에 AI 적용하니 PV 69% 증가"
173,"KB금융, 와 금융AI스피커 엔진 개발 협력"
174,"KB금융, 와 금융 AI 비즈니스 사업제휴"
175,AI 기술 접목에 열올리는 금융권… KEB하나·우리·KB금융 등 ‘네...
176,", AI 연구자 대상 ‘AI 콜로키움 2019’ 내달 5일 연다"
177,"LG전자, AI 홈로봇 'LG 클로이' 본격 판매 돌입"
178,", 세계 최고 딥러닝 콘퍼런스 3년 연속 참가"
179,", AI 연구자 대상 ‘AI 콜로키움’ 개최...AI 연구 성과 등 공유"
180,"유럽서 온 부부 연구원 ""언어 특성 넘나드는 파파고 번역 엔..."
181,", AI 콜로키움 4월 5일 개최…학계와 AI 연구현황 공유"
182,"KB금융, 와 금융 AI 비즈니스 사업제휴"
183,", 지체장애인에 AI 스피커·바이브 이용권 제공"
184, 숙의 네트워크
185,KB금융· 손잡고 금융AI스피커 개발한다
186,"-LGU+, 장애인 위한 AI 접근성  확대"
187," 뉴스 추천, 4일부터 AI가 합니다"
188,"'AI 연구개발 공유' AI 콜로퀴움 2019, 다음달 5일 개최"
189, 뉴스 사람 편집 없애고 AI로 완전 대체한다
190,"KB금융, 와 금융 AI 비즈니스 사업제휴"
191,·라인·컴투스 등 IT·게임사 '여름 인턴' 모집
192,KB금융- 와 AI 비즈니스 제휴
193,"LG전자, 가정용 AI 로봇 ‘LG 클로이’ 16일부터 판매"
194,"KB금융, 와 금융 AI 비즈니스 사업제휴"
195,·라인·컴투스 등 IT·게임사 '여름 인턴' 모집
196,·라인·컴투스 등 IT·게임사 '채용형 여름 인턴' 모집
