,0
183," 해시그래프 다보스포럼 2019 참가, 크라우..."
184,"KB국민, 디지털 근무 공간 ‘스마트 워크존’..."
185,"""지갑 없이 생활한 지 1년"" 中 QR코드 결제시장 경험해보니.."
186,", FW-MCI ‘뱅크웨어글로벌’ 채택"
187, 흥행 필요한 인터넷전문은행
188,"""일단 한수 배우겠습니다"" 삼성·롯데·BC 제3인터넷은행 ‘기웃’"
189,"LG CNS, IT서비스 수주 업계 1위 복귀 청신호"
190,"'페이전쟁' 속 사, 지급결제시장 주도권 지키려 '안간힘'"
191,
192,네이버 빠진 ‘제3 인터넷전문은행’ 선정…교보·SBI·키움 도전
193,"LG CNS, 올해 금융IT시장 선전 높게 평가…부사장 및 전무 승진자 배출"
194,"서준희  사장 ""KT와 콜라보로 새로운 핀테크 ..."
195,제3인터넷전문은행 심사설명회서 드러난 후보자 윤곽은?...대형 금...
196,'통합 QR페이' 하반기 상용화된다고? 롯데·신한· 참여
197,"KT 그룹사, ‘2019년 경영전략 데이’ 개최"
198, 김정태 하나금융지주 대표이사 회장
199," 박정호, SK텔레콤 사업목록에 인터넷은행 넣을까"
200,"사, 핀테크 기술 앞세워 세계로"
201," 사 통합 'QR페이' VS '제로페이', 차이점은?"
202,"KT 그룹사, 새로운 5G 세상 함께 연다"
203,LG CNS 현신균·이재성 부사장 승진
204,"KT 그룹, “새로운 5G 세상 함께 연다”"
205,스마트금융 콘퍼런스 축하합니다
206," KT, ‘5G로 여는 새로운 세상’ 그룹사 경영전략 ..."
207,뜨거워지는 금융사-핀테크업체 '영토전쟁'
208,"KT 그룹사, 새로운 5G 세상 함께 연다...""5G 플랫폼 1등 기업 될 것"""
209,"“5G 역량 총집결”, KT 그룹사 '경영전략데이' 개최"
210,"KT 그룹사, ‘경영전략 데이’열고 5G 시대 필승 결의"
211,"KT, 그룹사 경영전략 데이 “5G 시대 필승할 것”"
212,KT 그룹사 '경영전략 데이' 개최…목표는 '5G 플랫폼 1등'
213,"KT그룹, 5G 시대 필승 위한 그룹역량 총집결 결의"
214,"KT그룹사, 새로운 5G 세상 함께 연다"
215,"KT그룹, 5G 도약 다짐...""글로벌 1위 되자"""
216,"""5G 시대 선도한다""… KT, '2019 그룹사 경영전략 데이' 개최"
217,"KT 그룹사, '5G 플랫폼 1등 도약' 다짐....`경영전략 데이` 개최"
218,"KT그룹사, 새로운 5G 세상 함께 연다"
219,"KT그룹 ""5G로 새로운 세상 연다""… 그룹역량 총집결"
220,"KT그룹 임직원 ""5G 시대, 플랫폼 1등 기업 필승 결의""...‘2019년 ..."
221,"KT 그룹사, 새로운 5G 세상 함께 연다"
222,"KT그룹, 5G로 '대동단결'"
223,Card issuers getting 'lean and mean'
224,"KT그룹 경영진, '플랫폼 1등 기업' 다짐"
225,"KT, '글로벌 5G' 1등 달성 위한 그룹 경영전략회의 개최"
226,"KT그룹, ""그룹 시너지 통해 새로운 5G 세상 열 것"""
227, KT그룹
228,"KT그룹, “5G로 새로운 세상 연다”…‘2019 경영전략 데이’ 개최"
229,"KT그룹사 도원결의 “5G 플랫폼 1등, 글로벌 1등”"
230,"황창규 KT 회장 ""그룹 역량 총결집해 5G 선도할 것"""
231,"KT 그룹사, 새로운 5G 세상 함께 연다…‘그룹사 경영전략 데이’ 개최"
232,"KT그룹사, 새로운 5G 세상 함께 연다..글로벌 5G 1등 위한 키워드 ..."
233,"KT 그룹, '5G 1등' 기업 도약 위한 경영전략 데이 개최"
234,"LG CNS,  주전산시스템 조기 개통 성공"
235, 교보생명·SBI·인터파크 등 제3인터넷은행 참여 '눈치'
236,"황창규, KT와 계열사 경영전략행사에서 5G 시대 1등 결의 다져"
237,"KT, '2019 그룹사 경영전략 데이'...5G 플랫폼 핵심전략 공유"
238,"KT그룹사, 경영전략 데이 개최… “플랫폼 1등 기업으로 도약”"
239,"KT ""플랫폼 1등 기업으로 새로운 5G 세상 열겠다"""
240,"“새로운 5G 세상, KT가 함께 열어갑니다”"
241,"KT 그룹사, 플랫폼 기업 도약 위해 ‘장전 완료’"
242,"KT 그룹, 그룹사 시너지로 ‘플랫폼 1등’ 도약 다짐"
243,"KT그룹, 5G시대 필승 다지는 '경영전략 데이' 개최"
244,"ICT업계 ""네이버 불참 예견된 일…인터넷은행 규제 장벽 너무 높아"""
245, 
246,"KT, 5G 1등 전략 ‘플랫폼 전략ㆍ그룹 시너지’"
247,"KT 그룹사, 새로운 5G 세상 함께 연다"
248,"KT ""계열사 역량 모아 5G 1등"""
249,"“5G 플랫폼 1등 도약하자”…KT그룹, 필승 결의"
250,"'인력난' 확산…업계, IT인재 확보 안간힘"
251,제3 인터넷은행 심사항목에 '포용성' 신설...왜
252," 신규 채용 실시하는 KT, 총 500명 규모"
253,"LG CNS,  주전산시스템 조기 개통 성공"
254, LF·LG화학·기아자동차··GS리테일 外
255,'종합검증제'로 오류 확 줄이고 '토큰시스템' 국내 최초 상용화
256,"KT, 그룹사 경영전략 데이 개최… 5G 시대 필승 결의"
257,'사면초가' 사 위기탈출 승부수 좌초될 판
258,"KT그룹, ‘2019년 경영전략 데이’ 개최…5G 시대 필승 결의 다져"
259,"KT, “그룹 역량모아 플랫폼 1등 기업 도약”"
260,"LG CNS, ' 주전산' 조기 개통 화제"
261,"인터넷은행 네이버도 불참, 규제개혁 1호 ‘ 계륵’ 되나"
262,제3인터넷은행 '메기급' 될까...물밑 논의 분주
263,"LG CNS,  주전산시스템 조기 개통 성공"
264,개인정보 규제 풀어 데이터경제 '빅뱅' 이끈다
265,"KT chairman apologizes for chaos, scrambles to contain damage f..."
266,  외
267,KT- 신규 서비스 '클립' 출시
268,"LG CNS,  주전산시스템 조기 개통"
269,"은행··증권·스타트업, ""ALL 디지..."
270,"치열해지는 가정용 보일러사, 콘덴싱 교체시장 본격 공략"
271,"KT, 조직개편·임원인사 단행..""5G 중심의 조직 정비"""
272, 
273,"KT, 사장 1명·부사장 3명 등 총 41명 임원 승진·발탁"
274,"LG CNS,  주전산시스템 조기 개통 성공"
275, State-sponsored 'Zero-Pay' scheme brings sustainab...
276,"씨티아이앤씨, ‘하이브리드 클라우드 구축 방안’ 세미나 개최"
277,"내 삶이 멈췄다, 초연결사회 공포"
